EmployeeID,Age,Gender,Department,EducationField,Education,JobRole,MonthlyIncome,YearsAtCompany,TotalWorkingYears,DistanceFromHome,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,OverTime,Attrition
91,29.0,Female,Sales,Technical Degree,1,Sales Representative,4796.27,6,6.0,4.0,3,4.0,4,3,Yes,No
92,51.0,Female,Sales,Life Sciences,3,Sales Representative,4808.2,7,9.0,1.0,3,4.0,3,4,No,No
93,27.0,Male,Sales,Technical Degree,2,Sales Executive,29790.495238853142,10,14.0,4.0,4,1.0,3,0,No,No
94,43.0,Female,Sales,Medical,1,Sales Representative,2527.36,0,13.0,6.0,2,2.0,3,2,No,Yes
95,27.0,Female,Sales,Technical Degree,2,Manager,5070.41,6,6.0,2.0,4,2.0,3,4,Yes,No
96,26.0,male,Sales,Marketing,2,Sales Executive,6144.57,12,12.0,22.0,1,2.0,3,4,No,No
97,42.0,M,Research & Development,Life Sciences,3,Laboratory Technician,,0,0.0,3.0,1,2.0,3,4,No,No
98,45.0,Male,Research & Development,Human Resources,3,Research Scientist,4479.96,3,4.0,27.0,2,4.0,3,2,No,No
99,25.0,Male,Sales,Other,3,Manager,4697.15,0,4.0,29.0,1,4.0,3,2,Yes,No
100,38.0,Male,Human Resources,Technical Degree,3,Human Resources,2996.82,3,3.0,5.0,3,3.0,3,2,No,No
101,31.0,Male,  Research & Development ,Other,2,Laboratory Technician,4627.21,8,8.0,2.0,2,1.0,4,2,No,Yes
102,42.0,Male,Research & Development,Human Resources,1,Manufacturing Director,,8,10.0,3.0,1,2.0,4,2,No,No
103,39.0,Male,Sales,Human Resources,2,Sales Executive,3493.58,4,5.0,13.0,1,3.0,3,3,No,Yes
104,36.0,Male,Research & Development,Marketing,2,Research Scientist,4392.28,2,7.0,2.0,1,1.0,3,2,No,No
105,45.0,F,Sales,Medical,2,Sales Executive,2750.13,0,1.0,8.0,1,,3,1,No,No
106,33.0,Male,Sales,Technical Degree,3,Sales Executive,3270.74,2,,1.0,4,2.0,4,1,No,No
107,44.0,Female,Sales,Life Sciences,2,Sales Executive,4127.82,4,8.0,2.0,4,3.0,3,4,No,No
108,21.0,Female,Sales,Marketing,2,Sales Executive,3903.74,2,4.0,1.0,3,1.0,3,3,No,No
109,48.0,F,Sales,Marketing,3,Sales Representative,3727.63,0,2.0,29.0,3,3.0,3,3,No,Yes
110,,Female,Research & Development,Other,1,Laboratory Technician,2570.78,2,10.0,1.0,1,2.0,3,5,No,Yes
111,33.0,Male,Research & Development,Technical Degree,1,Manager,4607.93,7,7.0,5.0,4,2.0,3,2,No,No
112,40.0,Female,Research & Development,Technical Degree,1,Laboratory Technician,3672.78,2,4.0,1.0,3,4.0,3,1,No,No
113,36.0,Male,Research & Development,,5,Research Scientist,6129.19,8,13.0,29.0,3,1.0,3,4,No,No
114,38.0,Male,Sales,Marketing,2,Manager,3142.69,3,14.0,5.0,3,2.0,4,2,No,Yes
115,28.0,Female,Sales,Life Sciences,3,Sales Representative,4133.78,0,0.0,25.0,3,,4,1,Yes,No
116,29.0,Male,Research & Development,Technical Degree,1,Manager,7754.57,13,13.0,3.0,4,4.0,3,4,No,No
117,29.0,Male,Sales,Marketing,3,Manager,7039.74,5,6.0,28.0,4,3.0,3,1,No,No
118,60.0,Male,Research & Development,Other,5,Laboratory Technician,7284.48,11,13.0,2.0,2,2.0,4,2,No,No
119,49.0,Male,Sales,Marketing,3,Manager,4890.65,1,,12.0,2,4.0,3,1,Yes,No
120,41.0,Male,Human Resources,Medical,2,Manager,4702.1,4,6.0,19.0,1,3.0,3,1,No,No
121,34.0,F,Sales,Human Resources,2,Sales Representative,4529.55,9,11.0,8.0,4,2.0,3,2,No,No
122,33.0,F,Research & Development,Human Resources,5,Manager,6390.05,12,18.0,1.0,2,2.0,3,6,Yes,Yes
123,32.0,Female,Research & Development,Technical Degree,1,Research Scientist,,10,13.0,15.0,1,4.0,3,4,No,No
124,32.0,Female,Research & Development,Marketing,2,Laboratory Technician,3869.6,8,12.0,4.0,4,1.0,3,5,No,No
125,41.0,Female,Sales,Marketing,1,Manager,5389.99,4,5.0,9.0,1,1.0,3,1,No,No
126,41.0,Female,Research & Development,Other,3,Laboratory Technician,5488.69,3,5.0,1.0,4,1.0,3,4,No,No
127,41.0,Female,Sales,Life Sciences,2,Sales Executive,5218.6,24,27.0,14.0,4,2.0,3,4,Yes,No
128,41.0,male,Sales,Other,2,Sales Executive,5503.51,12,13.0,16.0,4,3.0,3,5,No,No
129,40.0,Male,Research & Development,Human Resources,4,Manager,4310.95,0,8.0,5.0,4,1.0,3,0,No,No
130,36.0,Female,Sales,Marketing,4,Sales Representative,4736.61,6,6.0,8.0,4,2.0,3,3,No,No
131,30.0,Male,Sales,Medical,1,Sales Representative,3662.13,1,3.0,19.0,4,1.0,3,3,No,Yes
132,38.0,Male,  Research & Development ,Medical,1,Manager,,3,3.0,1.0,1,4.0,3,2,No,No
133,36.0,Female,Sales,Human Resources,2,Manager,6760.65,3,5.0,4.0,4,1.0,3,6,Yes,Yes
134,45.0,Female,Sales,Human Resources,2,Manager,3864.85,0,0.0,11.0,3,1.0,3,4,No,No
135,41.0,Female,Research & Development,Human Resources,1,Manager,4569.23,4,4.0,1.0,2,4.0,3,0,No,Yes
136,37.0,Male,Research & Development,Life Sciences,2,Manufacturing Director,4629.1,3,3.0,15.0,4,3.0,3,3,No,No
137,20.0,Female,Sales,Technical Degree,4,Manager,3531.76,4,6.0,3.0,1,1.0,4,2,No,Yes
138,40.0,Male,Sales,Life Sciences,4,Manager,6242.47,4,4.0,6.0,4,3.0,3,2,Yes,Yes
139,27.0,Male,Sales,Marketing,2,Manager,5616.97,4,4.0,1.0,2,4.0,4,3,No,Yes
140,,Male,Sales,Human Resources,5,Sales Representative,2990.21,1,8.0,1.0,1,2.0,3,3,Yes,No
141,27.0,Male,Research & Development,Medical,3,Research Scientist,2967.65,3,23.0,5.0,1,4.0,3,4,No,No
142,39.0,Male,Human Resources,Technical Degree,2,Human Resources,3790.94,3,3.0,9.0,4,4.0,3,3,No,No
143,31.0,Male,Research & Development,Life Sciences,4,Laboratory Technician,3873.94,7,15.0,3.0,3,1.0,3,3,No,No
144,45.0,Male,Sales,Human Resources,3,Manager,5767.32,0,8.0,21.0,3,4.0,3,4,No,No
145,32.0,Male,Sales,Life Sciences,3,Sales Representative,4921.0,6,6.0,3.0,4,1.0,3,0,No,No
146,43.0,Male,Sales,Technical Degree,2,Sales Representative,3116.76,0,6.0,3.0,1,3.0,3,1,No,Yes
147,35.0,Male,Research & Development,Medical,1,Laboratory Technician,3255.59,2,3.0,4.0,1,3.0,3,4,Yes,No
148,,Female,Sales,Life Sciences,3,Sales Executive,5741.06,10,13.0,4.0,1,,3,3,No,Yes
149,36.0,Male,Human Resources,Medical,1,Manager,6503.67,7,8.0,13.0,1,2.0,3,1,No,No
150,38.0,Male,Research & Development,Life Sciences,2,Laboratory Technician,5504.33,12,15.0,6.0,3,2.0,3,6,No,No
151,41.0,Female,Research & Development,Life Sciences,2,Manufacturing Director,5531.69,0,4.0,2.0,1,2.0,3,3,No,No
152,34.0,Female,Sales,Life Sciences,4,Sales Representative,3844.92,1,5.0,15.0,1,1.0,3,3,Yes,No
153,33.0,Male,Research & Development,Human Resources,4,Manager,4178.55,2,2.0,2.0,4,3.0,3,1,Yes,Yes
154,26.0,Male,Sales,Marketing,3,Sales Representative,2010.08,0,2.0,7.0,3,1.0,3,4,No,Yes
155,23.0,M,Sales,Human Resources,1,Manager,6176.88,8,9.0,3.0,4,3.0,3,4,No,No
156,47.0,Male,Sales,Marketing,3,Manager,5740.86,3,3.0,7.0,4,2.0,3,4,No,No
157,33.0,Female,Sales,Medical,2,Sales Representative,4136.35,1,16.0,3.0,3,3.0,3,2,No,No
158,28.0,Male,Sales,Life Sciences,2,Sales Representative,3645.26,0,2.0,2.0,2,1.0,4,2,No,No
159,18.0,Male,Research & Development,Other,4,Laboratory Technician,4416.48,3,12.0,15.0,3,4.0,3,3,Yes,No
160,57.0,Male,Human Resources,Marketing,3,Manager,5154.17,1,1.0,1.0,4,3.0,3,0,No,No
161,36.0,Female,Sales,,3,Sales Representative,2890.48,1,5.0,10.0,2,1.0,3,2,Yes,Yes
162,42.0,F,Research & Development,Other,2,Manager,5711.2,6,6.0,5.0,1,3.0,3,4,No,No
163,21.0,Female,Human Resources,Human Resources,2,Human Resources,3632.8,4,5.0,2.0,1,4.0,3,2,No,No
164,43.0,Male,Research & Development,Human Resources,4,Manufacturing Director,5868.2,2,10.0,2.0,4,1.0,3,5,Yes,No
165,24.0,Male,Research & Development,Marketing,4,Manager,5400.93,3,9.0,5.0,1,1.0,3,5,No,Yes
166,36.0,Male,Research & Development,Technical Degree,2,Research Scientist,3400.78,1,2.0,28.0,3,2.0,3,1,No,No
167,50.0,Female,Research & Development,Other,2,Manufacturing Director,5318.99,7,13.0,3.0,3,3.0,3,1,No,No
168,49.0,Male,Research & Development,Medical,2,Manufacturing Director,6126.69,5,17.0,12.0,1,1.0,3,0,No,No
169,43.0,Male,Research & Development,Life Sciences,3,Laboratory Technician,5773.24,10,14.0,21.0,3,1.0,3,6,No,No
170,44.0,Male,Research & Development,Life Sciences,1,Manufacturing Director,5219.11,7,8.0,12.0,4,3.0,3,0,No,No
171,53.0,Male,Sales,Marketing,3,Manager,5974.86,2,4.0,4.0,3,4.0,3,2,No,No
172,46.0,Female,Sales,Human Resources,2,Sales Representative,4741.39,11,27.0,21.0,1,,3,2,No,Yes
173,47.0,Male,Sales,Other,2,Sales Representative,4009.15,2,2.0,2.0,2,3.0,3,2,No,Yes
174,44.0,Female,Research & Development,Technical Degree,2,Manager,7316.98,23,23.0,4.0,2,1.0,3,3,No,No
175,29.0,Male,Sales,Medical,2,Manager,5985.3,6,19.0,2.0,1,3.0,4,1,No,No
176,29.0,Female,Research & Development,Other,4,Laboratory Technician,5037.29,2,3.0,7.0,2,1.0,4,3,No,No
177,23.0,Male,Sales,,4,Sales Representative,4779.65,5,6.0,1.0,4,2.0,4,4,Yes,Yes
178,85.0,F,Research & Development,Technical Degree,4,Manufacturing Director,5741.57,5,8.0,1.0,1,1.0,4,3,No,Yes
179,34.0,Male,Sales,Other,3,Sales Executive,3993.88,6,6.0,7.0,2,2.0,3,6,No,No
180,37.0,Female,Human Resources,Life Sciences,2,Manager,7197.67,6,13.0,16.0,3,4.0,3,2,No,No
181,37.0,Male,  Research & Development ,Other,1,Research Scientist,3841.41,1,2.0,,1,1.0,4,1,Yes,No
182,37.0,Female,Research & Development,Technical Degree,4,Manufacturing Director,7751.36,15,17.0,1.0,4,1.0,3,3,Yes,No
183,37.0,Female,Research & Development,Life Sciences,1,Laboratory Technician,5015.04,14,14.0,3.0,4,3.0,3,5,Yes,No
184,20.0,male,Research & Development,Human Resources,3,Manager,6094.63,1,1.0,5.0,3,4.0,4,0,Yes,No
185,58.0,male,Sales,Other,3,Sales Representative,5483.91,2,7.0,2.0,2,1.0,3,6,No,Yes
186,49.0,Female,Human Resources,Human Resources,2,Manager,4521.52,1,2.0,9.0,1,2.0,3,3,Yes,No
187,43.0,Female,Research & Development,Other,2,Research Scientist,3355.49,4,11.0,10.0,3,3.0,4,5,No,No
188,85.0,Male,Research & Development,Medical,3,Manufacturing Director,,0,4.0,27.0,2,1.0,3,0,No,No
189,30.0,Female,Research & Development,Marketing,2,Research Scientist,3762.32,2,3.0,9.0,3,3.0,4,0,No,No
190,39.0,Female,Research & Development,Life Sciences,1,Laboratory Technician,4739.3,4,5.0,6.0,3,4.0,3,2,No,No
191,40.0,Female,Sales,,3,Sales Representative,5339.94,8,15.0,4.0,3,2.0,3,3,No,No
192,25.0,Male,Research & Development,,1,Laboratory Technician,3536.71,3,15.0,4.0,3,2.0,3,3,No,No
193,41.0,Male,  Research & Development ,Human Resources,1,Laboratory Technician,4751.33,9,14.0,13.0,1,4.0,3,1,No,Yes
194,22.0,Male,Research & Development,Other,2,Laboratory Technician,10344.07,33,39.0,18.0,4,3.0,4,3,No,No
195,36.0,Male,Research & Development,Human Resources,2,Laboratory Technician,5390.59,19,27.0,3.0,4,,3,2,Yes,Yes
196,47.0,Male,Research & Development,Human Resources,3,Laboratory Technician,10205.92,28,33.0,6.0,3,3.0,4,3,No,No
197,18.0,Male,Research & Development,Other,1,Manufacturing Director,6173.76,7,10.0,13.0,3,,3,0,No,No
198,35.0,Female,Research & Development,Life Sciences,1,Research Scientist,4543.76,6,9.0,1.0,3,1.0,3,2,Yes,Yes
199,35.0,Male,Research & Development,Technical Degree,1,Manufacturing Director,6672.05,4,6.0,25.0,1,1.0,3,1,No,No
200,51.0,Male,Sales,Other,3,Sales Executive,5449.39,7,10.0,2.0,3,4.0,3,6,No,No
201,85.0,Female,Research & Development,Life Sciences,2,Manufacturing Director,6898.58,13,14.0,8.0,3,4.0,3,3,No,No
202,30.0,Female,Human Resources,Technical Degree,3,Human Resources,3452.7,2,3.0,3.0,1,4.0,3,1,Yes,Yes
203,44.0,Male,Research & Development,Other,4,Manufacturing Director,5717.74,2,,12.0,4,2.0,4,0,No,No
204,38.0,Male,Sales,Human Resources,3,Sales Representative,2930.34,6,6.0,29.0,3,3.0,3,0,No,No
205,52.0,M,Sales,Technical Degree,2,Sales Executive,5612.11,6,6.0,,3,1.0,3,2,No,No
206,37.0,Male,Research & Development,Life Sciences,2,Laboratory Technician,6076.93,11,11.0,1.0,3,4.0,3,5,No,No
207,38.0,Female,Human Resources,Human Resources,2,Manager,6336.42,6,6.0,1.0,2,4.0,3,2,No,No
208,48.0,Male,Sales,Human Resources,2,Sales Executive,2676.02,0,1.0,20.0,3,1.0,3,1,No,No
209,37.0,female,Sales,Human Resources,4,Sales Representative,5053.95,3,10.0,11.0,1,4.0,3,1,No,No
210,38.0,Female,Research & Development,Other,1,Manufacturing Director,5936.32,1,1.0,14.0,1,1.0,3,2,No,No
211,25.0,Male,Sales,Marketing,3,Sales Executive,3316.94,1,4.0,8.0,1,,3,4,Yes,Yes
212,22.0,Female,Sales,Marketing,4,Sales Representative,5330.56,1,2.0,8.0,1,3.0,3,3,No,No
213,27.0,M,Research & Development,Marketing,1,Manager,3660.79,0,19.0,,3,1.0,3,4,No,No
214,25.0,Male,Human Resources,Other,1,Human Resources,,2,2.0,1.0,3,2.0,4,4,No,No
215,35.0,Female,Sales,Marketing,2,Manager,3949.41,3,10.0,3.0,2,1.0,3,2,No,Yes
216,54.0,male,Sales,Marketing,4,Sales Executive,5747.16,16,22.0,8.0,1,4.0,3,4,No,Yes
217,30.0,Male,Research & Development,Human Resources,2,Manufacturing Director,,5,10.0,,2,3.0,3,0,Yes,Yes
218,25.0,Male,Human Resources,Other,1,Manager,3676.32,0,4.0,1.0,1,1.0,3,2,No,No
219,38.0,Male,Research & Development,Life Sciences,3,Laboratory Technician,3198.11,1,1.0,3.0,3,4.0,3,3,No,No
220,18.0,Female,Human Resources,Medical,3,Manager,7559.31,3,5.0,1.0,2,2.0,3,3,No,Yes
221,37.0,Female,Research & Development,Technical Degree,2,Manufacturing Director,,3,10.0,6.0,1,3.0,3,3,No,Yes
222,48.0,Male,Sales,Other,2,Manager,5382.66,7,7.0,5.0,3,1.0,3,2,Yes,No
223,25.0,F,Sales,Medical,4,Sales Executive,5522.79,9,11.0,1.0,4,2.0,3,3,Yes,No
224,51.0,Male,Sales,Human Resources,2,Sales Representative,4063.23,4,11.0,17.0,3,1.0,4,3,No,No
225,30.0,Female,Sales,Marketing,3,Sales Representative,4302.26,1,3.0,29.0,2,3.0,4,2,No,No
226,36.0,Female,  Sales ,Other,3,Manager,8003.08,9,9.0,3.0,2,3.0,3,1,No,No
227,41.0,Female,Sales,Medical,2,Sales Executive,,1,3.0,20.0,3,1.0,3,0,No,No
228,46.0,Male,Research & Development,Other,1,Manager,4808.01,1,10.0,9.0,4,1.0,3,2,No,No
229,24.0,Male,Sales,Other,3,Sales Executive,3938.79,0,2.0,11.0,2,4.0,3,2,No,Yes
230,43.0,Male,Sales,Medical,4,Sales Representative,3292.72,0,1.0,1.0,2,4.0,4,3,No,Yes
231,39.0,Male,Sales,Technical Degree,3,Sales Representative,3707.13,0,4.0,1.0,4,1.0,4,1,Yes,Yes
232,18.0,Female,Sales,Life Sciences,5,Manager,7340.6,8,10.0,29.0,3,1.0,3,4,Yes,Yes
233,42.0,Male,Sales,Technical Degree,2,Manager,3298.5,0,15.0,1.0,2,1.0,3,4,No,No
234,,male,Sales,Human Resources,4,Sales Representative,6155.32,6,,2.0,4,2.0,3,2,No,No
235,27.0,M,Sales,Other,4,Sales Representative,4287.01,6,19.0,2.0,4,1.0,3,0,No,Yes
236,37.0,F,Research & Development,Medical,1,Laboratory Technician,3048.47,2,4.0,10.0,4,1.0,3,6,Yes,No
237,31.0,Female,Research & Development,Life Sciences,2,Laboratory Technician,3767.82,4,5.0,8.0,1,2.0,4,1,No,No
238,29.0,Female,Research & Development,Human Resources,2,Manufacturing Director,5846.7,0,3.0,2.0,1,3.0,3,4,No,No
239,26.0,Male,Sales,Other,2,Manager,4647.03,4,12.0,4.0,1,2.0,3,4,No,No
240,33.0,Male,Sales,Technical Degree,4,Manager,7023.01,4,9.0,16.0,2,4.0,3,2,No,No
241,20.0,Male,Sales,Human Resources,3,Sales Representative,4809.38,0,0.0,6.0,3,3.0,3,1,No,No
