EmployeeID,Age,Gender,Department,EducationField,Education,JobRole,MonthlyIncome,YearsAtCompany,TotalWorkingYears,DistanceFromHome,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,OverTime,Attrition,Gender_enc,OverTime_enc,Attrition_enc,Dept_Human Resources,Dept_Research & Development,Dept_Sales,Role_Human Resources,Role_Laboratory Technician,Role_Manager,Role_Manufacturing Director,Role_Research Scientist,Role_Sales Executive,Role_Sales Representative,Age_norm,MonthlyIncome_norm,YearsAtCompany_norm,TotalWorkingYears_norm,DistanceFromHome_norm,NumCompaniesWorked_norm
38,42.0,Male,Research & Development,Life Sciences,2,Laboratory Technician,5717.23,11,11.0,6.0,1,4.0,3,2,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5714285714285714,0.42624683388250056,0.2972972972972973,0.275,0.17857142857142858,0.2857142857142857
39,50.0,Male,Research & Development,Marketing,3,Laboratory Technician,3475.69,2,11.0,3.0,2,1.0,4,2,Yes,No,0,1,0,0,1,0,0,1,0,0,0,0,0,0.7619047619047619,0.17502633761459663,0.05405405405405406,0.275,0.07142857142857142,0.2857142857142857
40,25.0,Male,Research & Development,Life Sciences,3,Laboratory Technician,6692.88,24,24.0,4.0,4,2.0,3,4,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.16666666666666666,0.535592764440858,0.6486486486486487,0.6,0.10714285714285714,0.5714285714285714
41,33.0,Female,Research & Development,Technical Degree,3,Manufacturing Director,8661.23,4,5.0,4.0,4,2.0,3,1,Yes,Yes,1,1,1,0,1,0,0,0,0,1,0,0,0,0.35714285714285715,0.756195503552776,0.10810810810810811,0.125,0.10714285714285714,0.14285714285714285
42,22.0,Male,Sales,Medical,2,Sales Representative,5274.96,8,11.0,9.0,1,1.0,3,2,No,Yes,0,0,1,0,0,1,0,0,0,0,0,0,1,0.09523809523809523,0.37667944321161995,0.21621621621621623,0.275,0.2857142857142857,0.2857142857142857
43,32.0,Female,Research & Development,Other,1,Research Scientist,5845.3,9,16.0,1.0,2,2.0,4,4,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0.3333333333333333,0.440600273462892,0.24324324324324326,0.4,0.0,0.5714285714285714
44,44.0,Male,Research & Development,Other,1,Manager,5990.86,2,3.0,6.0,4,3.0,3,1,No,No,0,0,0,0,1,0,0,0,1,0,0,0,0,0.6190476190476191,0.45691390401900783,0.05405405405405406,0.075,0.17857142857142858,0.14285714285714285
45,40.0,Female,Research & Development,Technical Degree,2,Laboratory Technician,3800.17,5,29.0,10.0,4,2.0,3,3,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0.5238095238095238,0.21139241924999438,0.13513513513513514,0.725,0.32142857142857145,0.42857142857142855
46,39.0,Male,Sales,Human Resources,1,Sales Executive,6588.22,8,8.0,4.0,2,3.0,3,6,No,No,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5238629995741152,0.21621621621621623,0.2,0.10714285714285714,0.8571428571428571
47,59.0,Male,Human Resources,Technical Degree,3,Manager,4479.68,0,10.0,7.0,3,3.0,3,1,No,No,0,0,0,1,0,0,0,0,1,0,0,0,0,0.9761904761904762,0.2875484724183534,0.0,0.25,0.21428571428571427,0.14285714285714285
48,32.0,Female,Research & Development,Marketing,1,Research Scientist,4093.77,2,8.0,1.0,1,3.0,3,0,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0.3333333333333333,0.24429762625243762,0.05405405405405406,0.2,0.0,0.0
49,44.0,Male,Sales,Marketing,2,Sales Representative,4779.65,0,0.0,4.0,3,3.0,3,3,Yes,No,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6190476190476191,0.3211675968887992,0.0,0.0,0.10714285714285714,0.42857142857142855
50,41.0,Female,Sales,Human Resources,2,Sales Representative,3127.01,3,5.0,2.0,1,2.0,3,3,No,No,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5476190476190477,0.1359480420505234,0.08108108108108109,0.125,0.03571428571428571,0.42857142857142855
51,18.0,Male,Research & Development,Other,4,Laboratory Technician,4893.3,0,1.0,11.0,3,4.0,3,0,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.33390491560755836,0.0,0.025,0.35714285714285715,0.0
52,38.0,Female,Research & Development,Life Sciences,1,Manufacturing Director,5381.19,4,7.0,1.0,3,4.0,4,4,No,No,1,0,0,0,1,0,0,0,0,1,0,0,0,0.47619047619047616,0.3885851657588595,0.10810810810810811,0.175,0.0,0.5714285714285714
53,27.0,Male,Human Resources,Medical,3,Manager,3921.48,0,0.0,1.0,1,3.0,3,0,No,No,0,0,0,1,0,0,0,0,1,0,0,0,0,0.21428571428571427,0.2249882321296483,0.0,0.0,0.0,0.0
54,29.0,Female,Research & Development,Other,4,Manager,3510.27,2,13.0,4.0,2,3.0,3,3,No,Yes,1,0,1,0,1,0,0,0,1,0,0,0,0,0.2619047619047619,0.1789018895837536,0.05405405405405406,0.325,0.10714285714285714,0.42857142857142855
55,24.0,Male,Sales,Marketing,3,Sales Representative,4779.65,0,9.0,4.0,1,1.0,3,6,No,No,0,0,0,0,0,1,0,0,0,0,0,0,1,0.14285714285714285,0.3211675968887992,0.0,0.225,0.10714285714285714,0.8571428571428571
56,28.0,Female,Sales,Medical,2,Sales Executive,4489.13,4,4.0,3.0,4,3.0,3,2,No,No,1,0,0,0,0,1,0,0,0,0,0,1,0,0.23809523809523808,0.2886075807500056,0.10810810810810811,0.1,0.07142857142857142,0.2857142857142857
57,43.0,Female,Sales,Other,4,Sales Executive,4056.29,3,4.0,1.0,1,2.0,4,2,Yes,No,1,1,0,0,0,1,0,0,0,0,0,1,0,0.5952380952380952,0.2400970569116625,0.08108108108108109,0.1,0.0,0.2857142857142857
58,57.0,Male,Sales,Marketing,2,Sales Executive,4526.48,0,0.0,1.0,4,3.0,3,1,No,No,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9285714285714286,0.2927935803465357,0.0,0.0,0.0,0.14285714285714285
59,25.0,Male,Research & Development,Marketing,2,Research Scientist,5530.12,9,13.0,10.0,3,3.0,4,3,No,Yes,0,0,1,0,1,0,0,0,0,0,1,0,0,0.16666666666666666,0.4052764889157868,0.24324324324324326,0.325,0.32142857142857145,0.42857142857142855
60,36.0,Male,Research & Development,Medical,4,Research Scientist,3647.68,0,2.0,10.0,4,4.0,3,3,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.42857142857142855,0.19430210925066682,0.0,0.05,0.32142857142857145,0.42857142857142855
61,35.0,Male,Sales,Human Resources,2,Manager,6848.33,8,10.0,4.0,2,2.0,3,3,Yes,Yes,0,1,1,0,0,1,0,0,1,0,0,0,0,0.40476190476190477,0.5530148163091475,0.21621621621621623,0.25,0.10714285714285714,0.42857142857142855
62,35.0,Female,Sales,Human Resources,2,Sales Executive,3042.2,1,3.0,6.0,4,1.0,3,1,Yes,No,1,1,0,0,0,1,0,0,0,0,0,1,0,0.40476190476190477,0.12644296505502878,0.02702702702702703,0.075,0.17857142857142858,0.14285714285714285
63,27.0,Male,Sales,Life Sciences,2,Sales Representative,3357.83,0,0.0,19.0,3,2.0,3,1,Yes,No,0,1,0,0,0,1,0,0,0,0,0,0,1,0.21428571428571427,0.16181718333221257,0.0,0.0,0.6428571428571429,0.14285714285714285
64,37.0,Female,Research & Development,Life Sciences,2,Laboratory Technician,5048.89,10,11.0,4.0,1,2.0,3,2,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0.4523809523809524,0.35134265796965014,0.2702702702702703,0.275,0.10714285714285714,0.2857142857142857
65,33.0,Female,Research & Development,Other,1,Laboratory Technician,3794.46,13,15.0,29.0,4,2.0,4,2,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0.35714285714285715,0.21075247125277385,0.35135135135135137,0.375,1.0,0.2857142857142857
66,36.0,Female,Sales,Life Sciences,3,Sales Representative,3595.24,1,2.0,10.0,3,3.0,3,0,No,No,1,0,0,0,0,1,0,0,0,0,0,0,1,0.42857142857142855,0.18842489857216504,0.02702702702702703,0.05,0.32142857142857145,0.0
67,37.0,Female,Sales,Marketing,4,Sales Executive,6218.97,6,9.0,3.0,3,1.0,3,6,No,No,1,0,0,0,0,1,0,0,0,0,0,1,0,0.4523809523809524,0.48247932217066775,0.16216216216216217,0.225,0.07142857142857142,0.8571428571428571
68,42.0,Male,Research & Development,Medical,2,Laboratory Technician,2872.86,1,7.0,10.0,4,1.0,3,2,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5714285714285714,0.10746419205164415,0.02702702702702703,0.175,0.32142857142857145,0.2857142857142857
69,34.0,Female,Sales,Medical,3,Sales Executive,4779.65,11,12.0,4.0,4,2.0,4,3,Yes,No,1,1,0,0,0,1,0,0,0,0,0,1,0,0.38095238095238093,0.3211675968887992,0.2972972972972973,0.3,0.10714285714285714,0.42857142857142855
70,45.0,Female,Sales,Other,2,Manager,5019.12,0,0.0,11.0,2,2.0,4,4,No,No,1,0,0,0,0,1,0,0,1,0,0,0,0,0.6428571428571429,0.3480061865375563,0.0,0.0,0.35714285714285715,0.5714285714285714
71,32.0,Female,Sales,Other,3,Manager,3371.28,0,8.0,2.0,1,1.0,4,1,No,No,1,0,0,0,0,1,0,0,1,0,0,0,0,0.3333333333333333,0.16332459148678638,0.0,0.2,0.03571428571428571,0.14285714285714285
72,31.0,Male,Research & Development,Life Sciences,1,Laboratory Technician,4270.99,3,16.0,15.0,4,3.0,3,4,Yes,Yes,0,1,1,0,1,0,0,1,0,0,0,0,0,0.30952380952380953,0.26415954990697776,0.08108108108108109,0.4,0.5,0.5714285714285714
73,35.0,Male,Human Resources,Life Sciences,1,Human Resources,3191.69,1,4.0,7.0,2,2.0,3,1,No,Yes,0,0,1,1,0,0,1,0,0,0,0,0,0,0.40476190476190477,0.14319705018716516,0.02702702702702703,0.1,0.21428571428571427,0.14285714285714285
74,36.0,Male,Research & Development,Other,4,Laboratory Technician,7277.55,14,19.0,24.0,2,4.0,3,2,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.42857142857142855,0.6011196288077466,0.3783783783783784,0.475,0.8214285714285714,0.2857142857142857
75,38.0,Male,Sales,Other,1,Sales Representative,4944.53,10,11.0,1.0,2,2.0,3,2,Yes,Yes,0,1,1,0,0,1,0,0,0,0,0,0,1,0.47619047619047616,0.3396465155896263,0.2702702702702703,0.275,0.0,0.2857142857142857
76,38.0,Female,Research & Development,Life Sciences,3,Research Scientist,5536.18,9,10.0,10.0,4,4.0,3,1,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0.47619047619047616,0.4059556631475131,0.24324324324324326,0.25,0.32142857142857145,0.14285714285714285
77,35.0,Female,Research & Development,Technical Degree,1,Research Scientist,4779.65,1,9.0,2.0,4,1.0,3,2,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0.40476190476190477,0.3211675968887992,0.02702702702702703,0.225,0.03571428571428571,0.2857142857142857
78,36.0,Male,Sales,Technical Degree,3,Sales Executive,2896.44,0,1.0,1.0,4,2.0,4,5,Yes,No,0,1,0,0,0,1,0,0,0,0,0,1,0,0.42857142857142855,0.1101069195077668,0.0,0.025,0.0,0.7142857142857143
79,36.0,Female,Research & Development,Medical,2,Manager,5284.46,6,25.0,12.0,2,4.0,3,2,Yes,No,1,1,0,0,1,0,0,0,1,0,0,0,0,0.42857142857142855,0.37774415529105865,0.16216216216216217,0.625,0.39285714285714285,0.2857142857142857
80,49.0,Female,Research & Development,Human Resources,2,Laboratory Technician,6491.45,12,14.0,2.0,3,1.0,4,3,Yes,No,1,1,0,0,1,0,0,1,0,0,0,0,0,0.7380952380952381,0.513017506108085,0.32432432432432434,0.35,0.03571428571428571,0.42857142857142855
81,30.0,Female,Sales,Other,2,Sales Executive,3693.05,4,5.0,1.0,1,1.0,3,3,Yes,No,1,1,0,0,0,1,0,0,0,0,0,1,0,0.2857142857142857,0.19938694999215476,0.10810810810810811,0.125,0.0,0.42857142857142855
82,55.0,Female,Research & Development,Other,2,Manager,4533.89,0,3.0,2.0,3,3.0,3,1,No,No,1,0,0,0,1,0,0,0,1,0,0,0,0,0.8809523809523809,0.293624055768498,0.0,0.075,0.03571428571428571,0.14285714285714285
83,29.0,Male,Research & Development,Marketing,4,Laboratory Technician,5933.88,18,22.0,1.0,4,3.0,3,4,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2619047619047619,0.45052787304149017,0.4864864864864865,0.55,0.0,0.5714285714285714
84,42.0,Female,Human Resources,Human Resources,4,Human Resources,5007.71,7,14.0,1.0,4,1.0,3,6,No,No,1,0,0,1,0,0,1,0,0,0,0,0,0,0.5714285714285714,0.34672741129267254,0.1891891891891892,0.35,0.0,0.8571428571428571
85,44.0,Male,Research & Development,Medical,4,Research Scientist,4406.47,0,15.0,29.0,2,4.0,3,6,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6190476190476191,0.2793434649093314,0.0,0.375,1.0,0.8571428571428571
86,42.0,Male,Research & Development,Life Sciences,4,Manager,4509.42,4,5.0,7.0,2,2.0,3,3,Yes,No,0,1,0,0,1,0,0,0,1,0,0,0,0,0.5714285714285714,0.29088158160177524,0.10810810810810811,0.125,0.21428571428571427,0.42857142857142855
87,45.0,Male,Research & Development,Other,2,Research Scientist,6461.94,10,10.0,19.0,3,4.0,3,1,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6428571428571429,0.5097101741644812,0.2702702702702703,0.25,0.6428571428571429,0.14285714285714285
88,39.0,Male,Research & Development,Human Resources,2,Research Scientist,3425.84,0,10.0,20.0,1,4.0,3,1,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0.1694394010714366,0.0,0.25,0.6785714285714286,0.14285714285714285
89,29.0,Female,Research & Development,Medical,3,Manufacturing Director,3987.13,3,3.0,2.0,1,3.0,3,2,Yes,No,1,1,0,0,1,0,0,0,0,1,0,0,0,0.2619047619047619,0.2323459529733486,0.08108108108108109,0.075,0.03571428571428571,0.2857142857142857
90,40.0,Female,Research & Development,Technical Degree,3,Manufacturing Director,5490.11,5,11.0,24.0,2,4.0,3,2,No,No,1,0,0,0,1,0,0,0,0,1,0,0,0,0.5238095238095238,0.40079236993701384,0.13513513513513514,0.275,0.8214285714285714,0.2857142857142857
91,29.0,Female,Sales,Technical Degree,1,Sales Representative,4796.27,6,6.0,4.0,3,4.0,4,3,Yes,No,1,1,0,0,0,1,0,0,0,0,0,0,1,0.2619047619047619,0.3230302826530384,0.16216216216216217,0.15,0.10714285714285714,0.42857142857142855
92,51.0,Female,Sales,Life Sciences,3,Sales Representative,4808.2,7,9.0,1.0,3,4.0,3,4,No,No,1,0,0,0,0,1,0,0,0,0,0,0,1,0.7857142857142857,0.3243673368749019,0.1891891891891892,0.225,0.0,0.5714285714285714
93,27.0,Male,Sales,Technical Degree,2,Sales Executive,4779.65,10,14.0,4.0,4,1.0,3,0,No,No,0,0,0,0,0,1,0,0,0,0,0,1,0,0.21428571428571427,0.3211675968887992,0.2702702702702703,0.35,0.10714285714285714,0.0
94,43.0,Female,Sales,Medical,1,Sales Representative,2527.36,0,13.0,6.0,2,2.0,3,2,No,Yes,1,0,1,0,0,1,0,0,0,0,0,0,1,0.5952380952380952,0.06874229484679355,0.0,0.325,0.17857142857142858,0.2857142857142857
95,27.0,Female,Sales,Technical Degree,2,Manager,5070.41,6,6.0,2.0,4,2.0,3,4,Yes,No,1,1,0,0,0,1,0,0,1,0,0,0,0,0.21428571428571427,0.35375451101696814,0.16216216216216217,0.15,0.03571428571428571,0.5714285714285714
96,26.0,Male,Sales,Marketing,2,Sales Executive,6144.57,12,12.0,22.0,1,2.0,3,4,No,No,0,0,0,0,0,1,0,0,0,0,0,1,0,0.19047619047619047,0.4741409454643265,0.32432432432432434,0.3,0.75,0.5714285714285714
97,42.0,Male,Research & Development,Life Sciences,3,Laboratory Technician,4779.65,0,0.0,3.0,1,2.0,3,4,No,No,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5714285714285714,0.3211675968887992,0.0,0.0,0.07142857142857142,0.5714285714285714
98,45.0,Male,Research & Development,Human Resources,3,Research Scientist,4479.96,3,4.0,27.0,2,4.0,3,2,No,No,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6428571428571429,0.2875798534059579,0.08108108108108109,0.1,0.9285714285714286,0.2857142857142857
99,25.0,Male,Sales,Other,3,Manager,4697.15,0,4.0,29.0,1,4.0,3,2,Yes,No,0,1,0,0,0,1,0,0,1,0,0,0,0,0.16666666666666666,0.3119214130410418,0.0,0.1,1.0,0.2857142857142857
100,38.0,Male,Human Resources,Technical Degree,3,Human Resources,2996.82,3,3.0,5.0,3,3.0,3,2,No,No,0,0,0,1,0,0,1,0,0,0,0,0,0,0.47619047619047616,0.1213570035639836,0.08108108108108109,0.075,0.14285714285714285,0.2857142857142857
101,31.0,Male,Research & Development,Other,2,Laboratory Technician,4627.21,8,8.0,2.0,2,1.0,4,2,No,Yes,0,0,1,0,1,0,0,1,0,0,0,0,0,0.30952380952380953,0.3040828906372582,0.21621621621621623,0.2,0.03571428571428571,0.2857142857142857
102,42.0,Male,Research & Development,Human Resources,1,Manufacturing Director,4779.65,8,10.0,3.0,1,2.0,4,2,No,No,0,0,0,0,1,0,0,0,0,1,0,0,0,0.5714285714285714,0.3211675968887992,0.21621621621621623,0.25,0.07142857142857142,0.2857142857142857
103,39.0,Male,Sales,Human Resources,2,Sales Executive,3493.58,4,5.0,13.0,1,3.0,3,3,No,Yes,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,0.17703135857261335,0.10810810810810811,0.125,0.42857142857142855,0.42857142857142855
